user1,user2,weight
111,1228,51
723,977,1
1024,1080,38
1007,1030,53
140,1159,1
795,952,10
903,1107,1
958,1060,30
1060,1207,1
1004,1103,3
1004,1100,3
1100,1103,11
324,1375,1
60,324,1
39,324,2
60,1375,1
39,1375,1
39,60,1
107,617,1
306,324,58
726,1080,1
822,1043,7
795,1004,38
1165,1335,1
1187,1489,13
361,1100,1
800,910,11
266,958,1
883,1080,4
1080,1105,1
866,883,3
896,1072,1
1080,1101,10
883,1101,4
903,1080,2
803,1085,65
928,1197,1
107,1401,6
0,154,3
0,324,4
154,324,3
1233,1383,1
889,1004,21
795,889,7
220,1111,1
346,866,29
346,880,5
346,992,1
346,501,1
866,880,5
866,992,1
501,866,1
880,992,3
501,880,1
501,992,1
1080,1092,1
691,1007,1
822,1197,1
60,1004,5
1233,1293,1
1103,1130,11
592,1083,1
1113,1293,1
283,1035,4
466,1486,2
656,691,2
667,677,236
345,991,1
345,516,1
345,1055,1
516,991,2
991,1055,1
516,1055,1
456,1101,1
516,970,2
456,970,2
324,889,1
220,1045,3
277,1061,1
1060,1083,10
790,1024,1
1055,1062,1
833,1024,1
520,1024,2
520,833,1
790,1062,1
1057,1159,1
1062,1097,1
117,790,2
1097,1107,1
1043,1097,1
1057,1408,1
790,991,10
790,821,1
790,1057,1
790,943,3
446,1233,1
117,768,1
520,1474,1
520,790,1
790,1097,1
520,991,1
991,1097,2
520,1097,3
124,903,1
1024,1062,1
323,1062,1
324,1057,3
306,1057,1
855,1361,1
117,322,1
1092,1097,9
647,1046,8
61,107,50
331,818,2
818,1129,2
818,1000,3
331,1129,2
331,1000,2
331,1192,1
1000,1129,3
1129,1192,1
1000,1192,1
797,1242,3
166,1375,1
166,1024,1
166,1080,1
1024,1375,1
1080,1375,2
111,329,2
949,1060,1
257,259,7
1054,1240,15
786,789,144
220,1400,37
912,1129,1
789,1139,2
647,1171,4
647,818,4
818,1171,3
1046,1171,2
1106,1171,1
818,1046,3
818,1106,1
1046,1106,1
846,1139,1
1129,1139,2
786,1139,2
786,1129,3
789,1171,2
789,818,1
818,1063,1
1063,1106,1
1063,1129,1
1106,1129,1
957,1082,1
601,754,2
846,932,1
393,884,2
60,889,7
525,1057,16
1129,1171,2
850,1129,1
1399,1401,21
31,895,1
31,903,1
895,903,1
869,895,1
869,903,1
991,1107,1
833,1057,2
1057,1112,1
1043,1057,3
1043,1112,2
833,991,18
696,833,1
696,991,1
140,429,29
1060,1061,2
1057,1060,1
166,1233,3
656,1112,1
324,1348,1
849,1097,10
656,1242,1
647,910,7
910,1046,6
850,910,2
