user1,user2,weight
994,1142,8
842,931,2
306,842,1
306,931,1
929,931,2
306,929,1
116,1027,102
154,1211,10
324,1025,34
306,1025,8
306,324,26
118,1386,27
296,923,1
605,614,64
694,1342,15
707,1076,11
1061,1158,1
528,1060,1
528,1155,2
1109,1110,5
220,823,1
684,970,3
367,684,2
431,883,1
220,614,1
1000,1097,1
823,1000,1
909,1142,2
431,1023,1
721,823,1
444,721,1
87,1155,1
684,1155,4
444,1239,2
329,1415,1
867,1415,1
220,1130,1
329,550,1
459,1096,1
87,664,1
294,863,1
1100,1130,42
1103,1130,23
1100,1103,17
498,1156,1
466,843,2
466,1112,1
166,1246,1
431,1246,1
24,166,1
24,1246,1
1172,1246,1
1246,1271,1
393,731,1
393,600,1
583,1246,1
843,1246,2
249,505,1
431,1279,1
1279,1383,1
164,1246,1
385,1246,1
1042,1100,86
1035,1170,5
346,1100,38
324,346,7
346,428,4
324,1100,15
428,1100,9
324,428,11
428,1117,2
428,832,2
832,1117,5
116,547,5
788,932,6
154,501,24
386,501,2
386,1076,7
154,386,11
501,1076,8
154,1076,56
154,681,4
90,154,10
154,1156,1
286,1169,1
286,994,4
1339,1464,1
1169,1464,1
932,1169,1
932,1464,2
346,946,114
681,1151,1
946,1516,27
919,1163,28
0,866,25
866,1155,80
866,1234,28
866,1100,151
866,1430,17
866,969,39
866,1117,50
0,1155,13
0,1234,17
0,1100,11
0,1430,5
0,969,4
0,1117,17
1155,1234,29
1100,1155,92
1155,1430,4
969,1155,46
1117,1155,59
1100,1234,17
1234,1430,8
969,1234,14
1117,1234,37
1100,1430,8
969,1100,44
1100,1117,50
969,1430,2
1117,1430,7
969,1117,27
313,372,9
932,1115,12
866,1105,49
166,653,3
653,681,2
166,681,2
681,930,2
681,1516,6
842,946,2
802,1023,4
842,1009,2
156,1493,4
340,1493,5
916,1493,1
560,1493,1
608,1493,1
340,916,2
340,560,2
340,608,2
560,916,2
608,916,2
560,608,1
919,1493,6
916,1280,2
1230,1280,1
1122,1280,1
916,1230,2
916,1122,2
1122,1230,1
919,1230,1
919,1122,1
485,919,6
919,1115,2
485,1115,1
105,919,2
142,368,1
142,1328,1
368,1328,15
866,946,243
930,946,161
946,1247,3
866,930,110
866,1247,2
930,1247,2
1142,1247,1
788,1025,43
388,1035,1
938,1042,28
909,929,1
1142,1516,17
375,929,4
286,1524,1
681,1163,2
1100,1374,1
487,1234,3
346,930,51
143,1128,2
388,919,1
825,1151,2
802,825,2
802,1151,1
154,922,8
801,994,2
801,811,2
811,994,12
1189,1493,2
485,487,1
713,1334,1
713,1335,1
647,1138,71
344,393,3
869,1023,30
106,804,5
501,1100,9
17,903,3
667,677,52
286,1428,1
786,789,17
0,856,4
856,857,17
471,856,1
0,857,3
0,471,1
471,857,1
1076,1117,12
485,1516,2
842,1035,1
994,1035,4
842,1170,1
842,994,3
994,1170,52
866,1164,1
1025,1516,10
880,881,12
487,681,2
296,840,1
809,880,1
809,881,1
802,994,6
471,802,5
888,908,13
886,1185,8
550,1386,1
1009,1084,1
803,1084,3
970,1084,3
803,970,6
1056,1155,11
554,1155,1
220,895,5
1097,1339,7
490,1460,1
1001,1314,3
1024,1314,1
1001,1024,1
286,350,3
707,1086,3
1001,1119,1
929,1001,12
929,1119,1
870,1121,17
1068,1121,1
827,1053,1
707,1155,1
156,554,1
629,1076,33
386,471,5
386,1084,1
471,1084,2
554,1170,2
919,1056,2
1216,1516,1
930,1100,45
946,1201,2
929,1201,1
929,946,1
946,1100,85
946,1122,3
929,930,1
866,929,2
929,1100,3
929,1122,2
930,1122,4
866,1122,9
866,1516,13
1100,1122,7
1100,1516,13
1122,1516,4
865,1516,1
143,865,1
324,1317,6
306,1317,6
929,1328,1
938,1100,19
220,1197,2
1089,1430,1
480,1091,2
480,487,2
190,480,2
487,1091,2
190,1091,2
190,487,2
0,795,1
262,1124,1
1339,1390,1
368,1142,3
368,994,17
154,707,14
707,1122,2
154,1122,7
60,889,11
154,994,12
154,1068,4
902,1076,4
901,1280,1
368,921,1
866,1068,2
810,921,1
154,485,1
1156,1315,1
807,1315,1
185,919,4
374,1493,1
253,706,1
1089,1093,1
166,1493,1
771,1248,3
154,1100,24
154,1117,8
1076,1100,37
346,1117,9
346,1076,5
647,732,1
156,1314,1
296,1428,1
1100,1170,18
866,1170,18
1155,1170,10
946,1130,33
946,1117,27
946,969,14
946,1001,2
946,994,17
946,1155,17
1130,1516,4
1117,1516,7
969,1516,1
1001,1516,2
994,1516,11
