user1,user2,weight
326,327,216
51,516,3
112,794,1
306,324,4
639,1070,2
324,894,2
639,894,2
545,1511,1
238,822,1
1001,1221,1
794,1221,2
326,1221,3
327,1221,3
326,794,2
327,794,2
488,1511,4
1013,1184,1
822,1511,2
516,1113,1
17,1294,4
238,240,2
93,377,2
1083,1160,6
1022,1441,1
234,683,2
810,1449,2
306,639,1
306,894,1
306,1070,1
894,1070,1
646,1212,1
888,908,4
157,929,2
326,1511,1
327,1511,1
157,530,1
530,929,1
243,1438,2
157,1449,4
157,810,1
810,1001,1
157,1001,2
157,683,1
157,1116,1
683,1116,1
683,1449,1
683,1001,1
1116,1449,1
1001,1116,1
1093,1116,1
1001,1449,1
1093,1449,1
1001,1093,1
249,1044,1
728,1398,1
256,1419,2
265,1398,1
1022,1326,1
789,1387,4
822,1159,1
819,1155,1
1155,1455,1
377,943,1
573,1068,1
573,1179,1
377,573,1
807,1018,1
573,807,1
573,1018,1
1110,1140,1
789,1140,1
102,1534,1
159,377,1
93,159,1
93,789,1
700,789,1
93,700,1
159,1140,1
8,1184,1
838,1113,1
438,1104,1
1104,1383,1
438,1383,1
993,1288,1
909,1273,1
249,765,1
1109,1110,2
684,1018,1
977,1060,1
10,1152,1
155,1378,1
765,1099,1
842,1200,1
327,479,1
327,842,1
619,1054,1
619,675,1
619,721,1
330,1232,1
157,327,1
1001,1374,2
1022,1069,1
265,321,1
314,1343,1
1343,1512,1
314,1512,1
977,1022,2
321,822,2
977,1441,1
1038,1165,12
530,1022,1
112,822,1
456,1099,1
836,1160,2
836,1083,2
112,326,1
112,327,1
698,1398,2
993,1113,1
43,364,1
