user1,user2,weight
1178,1197,2
1100,1103,22
394,1236,55
1452,1453,32
1100,1506,10
371,778,7
131,405,1
1103,1506,11
127,1505,19
457,642,3
956,1462,10
1135,1278,42
532,534,4
591,632,5
781,1135,1
992,1098,1
1103,1305,2
1100,1305,2
1305,1506,3
587,1146,22
1345,1530,1
312,1319,1
943,1129,2
1222,1370,7
730,748,27
841,1289,9
841,1135,34
841,975,10
841,1278,19
975,1135,10
975,1278,10
88,1320,13
572,699,3
619,675,1
88,309,15
276,518,1
872,887,2
107,1172,1
441,1462,6
125,1337,1
1252,1253,17
1319,1521,1
936,1171,1
936,1129,2
993,1001,1
658,699,5
1135,1521,1
405,1180,1
166,1289,1
1527,1528,2
567,703,20
312,841,4
1289,1521,2
3,782,2
84,1521,1
472,970,1
958,1060,4
841,1330,1
462,1335,1
50,176,1
261,756,1
534,1400,1
1038,1165,3
1109,1110,1
772,1319,2
495,1319,11
3,1135,1
1105,1525,4
461,1105,2
461,722,2
461,1525,1
722,1105,3
722,1525,1
1305,1483,1
495,1490,1
312,1135,3
408,615,1
3,841,1
525,1057,1
879,936,2
1103,1203,1
1203,1506,1
585,623,1
590,841,1
590,1135,1
312,590,1
1180,1464,1
1272,1431,1
210,458,1
424,564,1
174,1368,1
466,1140,2
289,1525,1
424,1335,1
534,659,1
958,1105,1
472,990,1
98,418,8
418,1480,1
98,658,2
98,271,1
570,685,1
359,1480,3
176,658,1
50,271,1
50,658,1
176,1480,1
176,700,1
1431,1480,2
210,263,1
418,716,1
359,658,1
572,973,2
658,1431,1
570,1431,1
405,424,2
658,1105,1
349,1319,1
879,1139,1
936,1139,1
879,1129,1
228,1490,1
568,575,1
488,1109,1
289,590,1
289,1236,1
109,405,1
107,1530,1
1182,1418,1
