user1,user2,weight
1036,1273,1
1158,1273,1
939,1184,1
324,856,8
306,1025,1
161,162,13
1125,1224,3
934,1125,15
859,1125,6
71,1125,4
1125,1127,1
934,1224,2
859,1224,3
71,1224,2
1127,1224,2
859,934,3
71,934,3
934,1127,2
71,859,3
859,1127,1
71,1127,1
859,1067,3
1011,1067,3
1067,1125,3
831,1067,1
942,1067,1
1008,1067,3
859,1011,2
831,859,1
859,942,3
859,1008,3
1011,1125,2
831,1011,1
942,1011,1
1008,1011,2
831,1125,1
942,1125,2
1008,1125,3
831,942,2
831,1008,2
942,1008,2
786,789,31
994,1018,3
1036,1184,7
856,1154,2
1127,1154,2
71,998,33
998,1063,2
71,1063,1
856,982,2
1148,1149,10
791,792,2
872,1125,1
993,1032,1
993,1125,9
983,984,27
942,1091,3
939,984,6
76,937,4
704,1180,1
1010,1107,2
1046,1129,5
939,1116,9
872,998,1
324,857,4
856,857,30
1116,1184,1
2,1447,34
947,1141,3
249,1313,7
114,1013,1
0,856,8
934,1088,6
0,939,2
0,857,4
0,984,1
856,939,12
856,984,2
857,939,4
857,984,2
984,1011,1
71,856,7
377,1036,1
1046,1138,5
880,1138,7
1129,1138,2
1022,1138,1
880,1046,8
1022,1046,1
1000,1046,5
1046,1106,4
880,1129,3
880,1022,1
880,1000,4
880,1106,5
1022,1129,1
1000,1129,5
1106,1129,1
1000,1022,1
1022,1106,2
1000,1106,2
786,1171,1
858,1094,2
880,1094,4
1094,1138,1
1015,1094,2
858,880,3
858,1138,1
858,1015,1
880,1015,3
1015,1138,5
1000,1138,2
428,1138,2
647,1138,4
786,1138,3
977,1138,2
1015,1046,5
428,1046,1
647,1046,3
786,1046,6
977,1046,3
1000,1015,1
428,1000,1
647,1000,1
786,1000,4
977,1000,2
428,1015,2
647,1015,4
786,1015,3
977,1015,2
428,880,2
428,647,1
428,786,1
428,977,1
647,880,2
786,880,5
880,977,4
647,786,2
647,977,2
647,1106,1
786,977,2
786,1106,2
977,1106,4
331,977,1
977,1129,1
789,977,1
331,1129,2
331,789,1
331,1015,2
331,647,1
331,1138,1
789,1129,1
1015,1129,2
647,1129,2
789,1015,1
647,789,1
789,1138,2
789,1046,2
647,1139,1
1046,1139,1
786,1139,1
977,1139,2
1106,1139,1
1000,1139,1
880,1139,2
943,1139,1
943,1106,1
943,1000,1
880,943,1
647,1094,1
647,1448,1
1015,1448,1
1094,1448,1
331,1094,3
786,1094,2
331,1448,1
880,1448,1
786,1448,1
1129,1448,1
331,880,1
331,786,1
786,1129,2
598,633,1
858,1046,1
1046,1094,5
856,947,1
324,947,1
779,1065,1
1067,1127,2
998,1158,4
794,1125,1
794,934,1
947,1088,1
998,1088,1
