user1,user2,weight
374,484,2
958,1366,6
493,494,23
409,420,4
158,402,35
880,881,59
835,1437,13
409,438,1
666,754,2
666,1437,1
331,1000,1
306,324,5
832,901,2
684,1103,1
1100,1118,1
117,1455,1
444,645,1
444,1028,1
645,1028,1
754,1118,1
817,1487,1
166,921,1
160,503,1
160,718,1
503,718,1
483,503,1
503,1213,1
483,718,1
718,1213,1
483,1213,1
1100,1130,1
1103,1130,1
1100,1103,2
921,1068,1
207,215,1
215,984,1
215,479,1
479,984,1
1140,1487,1
215,1140,1
215,1487,1
119,1071,1
69,160,1
901,1103,1
666,1100,1
666,1103,1
609,909,1
770,1213,3
1077,1134,79
166,1506,2
166,1516,3
1506,1516,9
881,1487,1
880,1487,1
880,977,1
786,789,31
215,369,5
158,693,3
1452,1453,134
82,362,52
1059,1315,1
262,374,1
909,931,1
231,306,1
835,1115,10
835,1174,1
231,835,2
1158,1437,1
826,1059,12
306,879,6
879,1025,3
306,1025,2
788,879,3
324,788,4
306,788,4
324,879,3
324,1025,1
788,1025,2
346,946,16
45,1380,2
969,1427,1
41,1056,1
40,1473,5
978,1437,1
231,1437,15
1115,1437,32
85,573,1
253,261,1
148,474,1
231,880,5
592,835,1
592,880,1
835,880,1
3,1000,1
560,1482,1
560,876,1
560,1224,1
876,1224,1
738,867,1
629,937,6
609,1059,4
372,1427,1
598,1230,2
66,1230,2
180,1053,2
372,1053,6
180,372,2
162,1059,2
173,315,7
66,598,1
598,1053,1
180,598,1
372,598,1
69,1427,1
53,1059,1
53,826,1
340,945,7
945,1174,2
1174,1459,1
1115,1174,2
1111,1487,2
166,1473,1
880,1437,4
881,1437,2
645,881,1
999,1460,1
231,1115,10
1001,1437,1
484,1405,2
869,1023,1
516,821,2
803,915,1
516,915,1
516,803,1
516,1085,1
306,701,1
1119,1302,1
253,1460,1
253,581,1
100,1449,1
838,1097,1
21,879,1
1211,1224,1
362,1449,1
887,1224,1
44,1211,1
44,473,1
44,1460,1
473,1211,1
1211,1460,1
473,1460,2
473,1039,1
1039,1460,1
1127,1460,1
1203,1433,1
314,473,1
452,573,1
314,1508,1
314,479,1
350,1100,1
141,253,1
526,937,1
314,937,1
314,526,1
479,1474,1
477,479,1
477,1474,1
314,683,1
477,794,1
253,314,1
588,1104,3
431,588,1
3,1508,5
346,1025,3
945,1459,3
340,1459,2
356,374,3
14,1519,7
231,465,1
1071,1115,1
835,1071,1
1134,1516,3
946,1143,1
932,1487,1
340,1405,1
573,1460,1
915,1085,1
465,729,1
66,465,1
374,465,1
66,729,1
374,729,1
66,374,1
340,1115,1
231,1174,5
629,1097,1
567,703,2
824,883,1
1028,1155,1
82,650,1
932,1071,3
1000,1019,1
1158,1174,2
340,909,1
838,943,1
838,1094,1
866,1071,1
573,911,1
215,876,1
1053,1427,1
180,293,1
363,1000,4
480,969,1
879,1460,2
182,588,1
23,206,1
1000,1028,1
69,609,1
1174,1405,1
1142,1481,1
498,1207,1
82,141,2
594,879,1
880,1118,2
14,1479,2
158,879,1
880,1174,2
346,828,2
100,1460,1
374,1186,1
856,857,1
1071,1274,1
72,536,1
231,340,1
880,1115,3
1000,1525,1
879,1000,1
1140,1172,2
253,1530,1
879,1159,1
253,573,1
1025,1460,1
3,7,1
141,493,2
141,494,2
879,977,4
479,493,3
666,1134,2
666,1077,1
666,783,1
783,1134,3
783,1077,1
826,974,1
231,881,1
881,1115,1
1071,1437,1
1174,1437,1
1118,1437,2
1059,1118,1
1059,1115,1
1059,1437,1
231,1059,1
1115,1118,1
231,1118,1
465,1273,1
166,1115,1
162,598,2
162,1524,1
598,1524,1
160,598,1
160,880,1
206,880,1
817,880,1
45,817,1
45,880,1
207,1115,1
231,1459,1
598,1134,1
598,1204,1
909,1487,1
180,1405,1
835,866,1
180,1516,1
