user1,user2,weight
718,1099,1
1195,1198,1
483,718,23
1527,1528,8
1160,1527,1
466,992,1
466,1249,1
1078,1249,1
466,1078,1
992,1078,1
466,1188,1
1109,1110,7
786,789,13
1031,1527,1
895,1021,1
248,1418,1
248,666,2
718,1122,1
666,1122,1
666,1280,1
756,1534,1
0,107,2
0,166,1
107,166,3
666,1160,1
666,1113,2
446,1527,1
1009,1211,1
488,704,1
488,512,1
488,1174,1
945,1435,1
1160,1239,1
107,718,2
253,1460,1
478,623,1
478,1460,1
623,1460,1
592,993,1
107,675,1
166,279,1
646,671,1
1113,1476,1
253,819,1
166,1281,1
95,1281,1
253,446,1
666,1233,1
1007,1107,1
992,1249,1
359,1408,1
319,1198,2
376,1172,1
666,1527,3
708,1510,1
666,1172,1
1172,1527,1
248,1527,2
351,1385,1
1136,1193,1
843,1122,1
819,1029,1
0,1160,1
483,1172,2
1281,1395,1
483,1287,1
466,949,1
253,1107,1
166,478,2
823,1339,1
473,1089,1
823,943,1
1366,1460,1
843,1233,1
843,1366,1
1060,1239,1
843,1021,1
623,765,1
466,498,1
498,843,1
466,843,1
466,1435,1
0,466,1
166,676,1
466,1377,1
1172,1182,1
640,733,2
567,703,1
473,1532,1
10,566,1
469,934,1
638,789,1
248,1172,1
1039,1172,1
0,1172,1
190,934,1
1078,1178,1
253,1249,1
1206,1507,1
623,943,2
107,1418,1
819,1109,1
548,562,1
611,745,1
769,784,1
719,784,1
784,1031,1
719,769,1
769,1031,1
719,1031,1
1196,1198,1
941,992,1
690,1160,1
304,693,2
248,619,1
248,376,1
376,619,1
107,190,1
202,1281,1
202,1510,1
1281,1510,1
253,1043,2
1391,1466,1
130,1177,1
623,1510,2
562,602,1
623,1534,1
1510,1534,1
756,1510,1
856,857,2
857,1031,1
856,1031,2
623,1249,1
279,304,1
427,924,1
107,304,2
635,1430,1
635,1188,1
1188,1430,1
666,1476,1
571,715,1
571,600,1
843,941,1
843,1430,1
466,1172,1
522,1160,1
843,1089,1
478,1188,1
1006,1007,1
708,1007,1
708,1006,1
350,1006,1
350,708,1
516,708,1
