user1,user2,weight
178,179,49
786,789,21
178,1305,1
646,1165,19
283,498,1
192,847,1
325,1136,1
515,966,1
1154,1165,1
646,1154,1
545,1364,29
915,1021,103
326,327,24
841,871,1
1085,1159,6
183,1408,1
205,847,13
178,675,1
950,1021,3
880,1044,2
1000,1044,1
880,1000,1
284,1000,1
545,841,1
942,1532,2
895,1021,5
329,1021,1
329,915,1
803,917,4
393,1305,3
915,929,1
1305,1363,2
895,915,3
313,675,1
276,841,1
871,1532,1
178,325,1
220,1021,1
1021,1152,1
915,950,1
895,950,1
880,1139,1
1003,1021,1
276,775,1
742,803,2
437,907,1
437,674,1
178,437,1
134,1532,1
