user1,user2,weight
5,444,1
490,957,1
430,460,1
782,806,1
324,446,1
202,285,1
361,703,1
376,703,1
361,376,1
891,962,1
197,771,1
262,895,1
265,580,1
175,733,1
64,843,1
261,811,1
261,825,1
222,771,1
756,835,1
68,299,1
48,453,1
578,932,1
630,673,1
337,385,1
465,733,1
525,557,1
429,544,1
796,946,1
163,170,1
98,225,1
131,913,1
22,131,1
22,913,1
45,770,1
214,921,1
115,895,1
115,196,1
731,845,1
307,582,1
492,539,1
19,223,1
852,937,1
70,449,1
454,535,1
19,575,1
575,791,1
19,791,1
145,842,1
346,618,1
913,936,1
702,936,1
859,884,1
635,961,1
73,654,1
734,747,1
176,670,1
352,861,1
759,869,1
714,727,1
132,356,1
461,471,1
501,535,1
356,635,1
368,962,1
932,962,1
156,370,1
250,497,1
317,534,1
126,760,1
362,749,1
178,390,1
205,781,1
648,781,1
270,438,1
270,326,1
397,948,1
241,669,1
402,669,1
241,402,1
437,486,1
355,565,1
586,663,1
183,608,1
608,736,1
516,921,1
384,503,1
110,571,1
139,552,1
168,463,1
412,463,1
168,412,1
628,928,1
212,529,1
282,577,1
345,736,1
736,906,1
288,523,1
613,820,1
119,273,1
335,499,1
466,758,1
138,285,1
60,561,1
256,430,1
290,776,1
450,791,1
250,323,1
351,354,1
178,708,1
207,528,1
291,528,1
207,291,1
291,423,1
606,928,1
251,282,1
54,635,1
510,687,1
