user1,user2,weight
45,184,1
277,880,1
135,786,1
254,492,1
149,512,1
327,929,1
477,560,1
52,864,1
534,627,1
368,509,1
803,951,1
637,760,1
19,907,1
406,625,1
321,456,1
84,526,1
100,687,1
382,931,1
240,941,1
491,941,1
240,491,1
29,587,1
535,586,1
264,439,1
381,407,1
905,917,1
357,774,1
13,491,1
630,799,1
447,449,1
419,442,1
648,698,1
545,870,1
317,731,1
370,663,1
18,224,1
862,921,1
429,467,1
182,933,1
632,921,1
375,669,1
262,919,1
262,745,1
284,745,1
634,867,1
358,588,1
226,554,1
767,952,1
390,808,1
50,458,1
283,643,1
812,880,1
18,886,1
65,650,1
308,877,1
310,572,1
322,849,1
301,407,1
273,784,1
273,311,1
311,784,1
494,888,1
54,787,1
58,406,1
87,324,1
216,465,1
563,835,1
281,941,1
693,808,1
124,298,1
124,571,1
298,571,1
62,921,1
110,670,1
725,831,1
597,955,1
396,597,1
396,955,1
43,891,1
114,854,1
500,528,1
390,901,1
39,901,1
39,857,1
270,706,2
370,845,1
42,316,1
435,917,1
450,871,1
435,758,1
413,456,1
26,245,1
81,170,1
93,455,1
42,327,1
277,371,1
371,881,1
20,884,1
662,817,1
519,876,1
378,963,1
159,957,1
77,464,1
303,585,1
566,874,1
202,940,1
