user1,user2,weight
103,672,1
550,792,1
399,874,1
301,343,1
185,745,1
386,711,1
325,607,1
250,564,1
383,740,1
829,880,1
352,880,1
352,829,1
12,950,1
103,223,1
704,956,1
272,925,1
87,853,1
442,755,1
401,821,1
354,917,1
460,786,1
28,211,1
149,821,1
45,920,1
311,530,1
154,660,1
144,825,1
102,287,1
287,904,1
102,904,1
479,845,1
480,842,1
162,649,1
296,809,1
222,840,1
752,827,1
550,772,1
291,533,1
247,728,1
9,386,1
117,188,1
682,800,1
808,824,1
131,265,1
78,564,1
88,729,1
116,231,1
68,345,1
477,766,1
766,796,1
506,883,1
595,922,1
117,333,1
347,414,1
256,749,1
100,767,1
100,134,1
452,724,1
550,738,1
494,584,1
290,675,1
311,687,1
290,523,1
25,360,1
169,585,1
371,381,1
96,466,1
2,630,1
28,842,1
537,544,1
297,309,1
555,557,1
530,679,1
56,443,1
220,365,1
172,925,1
