user1,user2,weight
579,758,1
909,965,1
207,659,1
182,901,1
191,312,1
620,697,1
219,407,1
368,407,1
444,770,1
249,894,1
197,556,1
242,515,1
224,398,1
264,773,1
459,511,1
797,949,1
827,856,1
259,759,1
293,298,1
470,730,1
499,730,1
688,859,1
1,838,1
88,286,1
595,884,1
299,635,1
157,635,1
555,811,1
38,811,1
38,555,1
359,432,1
243,819,1
14,684,1
626,823,1
88,479,1
237,401,1
488,761,1
194,488,1
454,609,1
402,945,1
258,945,1
258,402,1
370,875,1
489,954,1
295,828,1
124,724,1
577,954,1
251,657,1
140,762,1
107,762,1
762,844,1
149,366,1
441,881,1
227,481,1
31,588,1
333,966,1
63,475,1
127,549,1
123,505,1
136,726,1
816,912,1
43,906,1
124,903,1
67,69,1
384,445,1
520,669,1
593,846,1
164,713,1
141,793,1
797,832,1
207,299,1
627,728,1
189,745,1
189,484,1
484,745,1
98,227,1
206,684,1
79,674,1
16,175,1
409,758,1
131,770,1
215,743,1
296,467,1
96,784,1
665,894,1
163,894,1
163,665,1
332,580,1
436,636,1
222,239,1
47,226,1
163,231,1
163,806,1
231,806,1
431,735,1
376,539,1
547,620,1
207,385,1
46,441,1
24,615,1
110,848,1
30,483,1
7,483,1
7,30,1
7,258,1
599,763,1
132,234,1
874,954,1
368,811,1
344,485,1
333,485,1
486,748,1
377,698,1
173,665,1
665,706,1
706,917,1
372,631,1
372,493,1
507,699,1
265,433,1
139,152,1
139,933,1
152,933,1
37,849,1
15,181,1
15,603,1
181,603,1
405,788,1
113,345,1
113,788,1
