user1,user2,weight
727,949,1
678,793,1
678,719,1
28,417,1
458,541,1
652,820,1
165,956,1
165,849,1
555,675,1
218,846,1
9,59,1
289,307,1
845,935,1
48,71,1
48,576,1
71,576,1
15,310,1
19,823,1
98,315,1
300,315,1
98,300,1
122,770,1
82,770,1
512,821,1
701,722,1
480,722,1
480,701,1
480,768,1
99,456,1
565,931,1
82,902,1
634,700,1
61,759,1
415,444,1
370,789,1
423,703,1
27,783,1
89,331,1
477,764,1
327,477,1
327,764,1
141,686,1
132,443,1
200,553,1
336,892,1
94,711,1
73,270,1
201,862,1
201,577,1
86,401,1
399,783,1
533,827,1
257,273,1
74,236,1
809,837,1
443,767,1
698,942,1
356,359,1
395,778,1
235,298,1
93,278,1
488,645,1
645,764,1
488,764,1
143,723,1
160,185,1
626,644,1
321,878,1
220,792,1
727,826,1
54,627,1
59,627,1
16,130,1
239,294,1
190,429,1
780,957,1
514,795,1
29,852,1
114,570,1
252,348,1
126,676,1
650,658,1
454,658,1
454,650,1
53,743,1
209,253,1
346,888,1
346,698,1
698,888,1
833,865,1
140,245,1
182,636,1
558,574,1
585,850,1
631,879,1
879,916,1
631,916,1
419,718,1
340,733,1
552,577,1
669,756,1
739,924,1
412,593,1
226,591,1
305,429,1
144,774,1
254,853,1
488,824,1
138,440,1
440,483,1
629,705,1
504,620,1
423,701,1
170,601,1
624,666,1
675,747,1
270,876,1
53,892,1
10,558,1
10,514,1
325,486,1
194,278,1
466,538,1
193,331,1
