user1,user2,weight
384,390,1
374,390,1
374,384,1
110,843,1
234,799,1
709,914,1
211,668,1
586,806,1
12,20,1
106,688,1
282,717,1
404,592,1
260,511,1
111,243,1
485,486,1
251,660,1
787,966,1
257,785,1
467,484,1
319,484,1
319,467,1
738,921,1
101,930,1
117,234,1
94,676,1
580,588,1
105,296,1
384,944,1
470,607,1
507,542,1
229,542,1
229,507,1
862,944,1
572,650,1
836,958,1
259,423,1
320,552,1
320,588,1
552,588,1
118,325,1
361,415,1
25,667,1
553,884,1
473,779,1
215,434,1
3,893,1
142,916,1
450,916,1
142,450,1
450,810,1
237,915,1
14,865,1
32,896,1
541,938,1
541,953,1
938,953,1
478,509,1
9,223,1
264,829,1
147,726,1
209,726,1
45,345,1
45,482,1
373,913,1
373,819,1
199,373,1
199,819,1
205,493,1
795,890,1
871,890,1
795,871,1
241,467,1
809,874,1
226,673,1
343,398,1
132,652,1
43,842,1
487,915,1
202,915,1
202,487,1
434,837,1
75,380,1
716,878,1
30,144,1
386,875,1
130,961,1
59,315,1
631,960,1
224,550,1
865,961,1
229,432,1
57,182,1
765,879,1
285,452,1
452,826,1
300,857,1
117,855,1
563,667,1
266,729,1
266,847,1
27,825,1
320,417,1
168,915,1
464,597,1
363,913,1
354,509,1
408,566,1
472,494,1
249,624,1
68,154,1
68,229,1
154,229,1
459,615,1
455,724,1
273,654,1
402,547,1
71,321,1
122,301,1
691,930,1
353,923,1
672,886,1
323,777,1
89,278,1
278,340,1
89,340,1
175,938,1
334,910,1
209,334,1
209,910,1
590,759,1
203,421,1
249,558,1
372,695,1
372,556,1
495,651,1
250,433,1
264,487,1
115,758,1
278,758,1
264,710,1
191,917,1
