user1,user2,weight
310,371,1
810,889,1
68,457,1
523,869,1
179,595,1
303,765,1
396,498,1
441,788,1
95,304,1
383,492,1
707,777,1
141,731,1
309,573,1
159,389,1
646,665,1
33,720,1
505,954,1
670,954,1
505,670,1
621,955,1
783,932,1
550,960,1
808,949,1
29,661,1
754,873,1
42,697,1
605,821,1
255,447,1
252,601,1
427,874,1
110,889,1
180,957,1
300,445,1
372,834,1
242,967,1
254,956,1
526,615,1
615,778,1
526,778,1
559,636,1
606,772,1
369,798,1
259,872,1
177,944,1
285,841,1
263,698,1
711,908,1
175,719,1
102,848,1
777,808,1
242,450,1
538,772,1
169,601,1
420,559,1
96,280,1
119,719,1
85,132,1
232,626,1
450,593,1
507,790,1
228,304,1
214,877,1
505,689,1
521,715,1
784,789,1
686,780,1
370,780,1
399,599,1
713,937,1
76,424,1
353,550,1
670,724,1
574,886,1
5,204,1
480,959,1
524,713,1
524,736,1
713,736,1
633,736,1
89,171,1
567,599,1
79,584,1
248,453,1
266,853,1
257,556,1
524,857,1
81,547,1
540,836,1
391,672,1
131,782,1
611,775,1
76,407,1
116,914,1
87,137,1
412,903,1
474,957,1
571,758,1
434,478,1
222,440,1
509,551,1
674,739,1
323,739,1
320,761,1
49,373,1
49,463,1
373,463,1
406,946,1
167,515,1
431,884,1
583,641,1
641,643,1
447,870,1
295,555,1
464,822,1
419,813,1
67,969,1
67,283,1
99,131,1
218,561,1
525,561,1
561,903,1
525,903,1
572,891,1
42,870,1
673,702,1
361,649,1
152,507,1
401,931,1
102,401,1
