user1,user2,weight
13,293,1
75,672,1
477,816,1
229,520,1
671,895,1
375,477,1
757,911,1
534,584,1
362,534,1
362,584,1
486,827,1
168,449,1
449,818,1
168,818,1
223,549,1
332,510,1
127,900,1
149,637,1
252,637,1
149,252,1
152,912,1
170,828,1
51,761,1
568,761,1
51,568,1
158,921,1
47,779,1
681,760,1
32,565,1
333,721,1
642,837,1
296,537,1
208,891,1
607,631,1
721,791,1
610,883,1
766,786,1
570,785,1
674,774,1
915,916,1
237,243,1
815,830,1
145,830,1
244,373,1
107,373,1
107,244,1
143,619,1
406,781,1
843,962,1
586,944,1
168,575,1
466,755,1
719,799,1
528,941,1
836,900,1
462,892,1
137,379,1
79,900,1
595,660,1
391,595,1
391,660,1
635,866,1
509,618,1
144,893,1
144,678,1
329,748,1
567,675,1
398,924,1
706,842,1
69,681,1
309,674,1
221,478,1
316,525,1
554,886,1
222,826,1
21,409,1
194,409,1
21,194,1
515,721,1
721,731,1
287,880,1
233,645,1
621,659,1
476,706,1
276,960,1
173,699,1
94,113,1
214,530,1
23,324,1
346,687,1
367,594,1
258,635,1
18,635,1
18,258,1
235,826,1
929,963,1
146,221,1
221,565,1
794,903,1
333,794,1
333,903,1
337,949,1
607,818,1
614,828,1
644,861,1
294,644,1
283,644,1
294,861,1
283,861,1
283,294,1
268,880,1
129,433,1
35,566,1
35,830,1
35,835,1
35,585,1
830,835,1
585,830,1
585,835,1
79,652,1
108,504,1
