user1,user2,weight
55,350,1
52,348,1
168,827,1
373,804,1
893,943,1
231,600,1
233,604,1
411,544,1
133,913,1
361,618,1
206,367,1
318,577,1
147,385,1
12,518,1
239,661,1
739,782,1
218,925,1
135,139,1
187,525,1
637,743,1
211,907,1
433,685,1
322,931,1
185,226,1
6,221,1
43,227,1
422,803,1
365,727,1
181,292,1
385,406,1
298,785,1
204,358,1
476,818,1
232,744,1
301,739,1
151,847,1
273,960,1
419,639,1
276,798,1
596,838,1
687,773,1
687,763,1
537,763,1
675,916,1
515,941,1
932,941,1
515,932,1
184,808,1
11,654,1
465,896,1
76,896,1
319,959,1
412,959,1
319,412,1
601,897,1
177,740,1
323,865,1
194,412,1
684,745,1
781,954,1
73,879,1
276,314,1
269,556,1
414,478,1
63,799,1
731,903,1
271,361,1
91,361,1
91,271,1
