user1,user2,weight
467,604,1
270,385,1
584,635,1
532,635,1
532,584,1
329,923,1
615,784,1
308,963,1
245,654,1
503,864,1
119,470,1
128,204,1
556,673,1
78,385,1
616,882,1
181,541,1
708,745,1
96,645,1
96,176,1
96,229,1
176,645,1
229,645,1
176,229,1
398,822,1
822,920,1
398,920,1
592,827,1
55,370,1
112,666,1
263,666,1
112,263,1
286,459,1
782,798,1
505,582,1
277,505,1
277,582,1
35,101,1
41,320,1
177,619,1
352,952,1
111,142,1
733,936,1
501,653,1
772,918,1
394,474,1
877,892,1
544,958,1
229,622,1
566,785,1
391,785,1
160,421,1
63,349,1
698,878,1
429,892,1
120,610,1
403,871,1
290,403,1
630,965,1
68,965,1
639,644,1
147,523,1
85,780,1
685,686,1
373,522,1
513,847,1
134,559,1
77,411,1
528,591,1
163,805,1
197,881,1
371,901,1
70,680,1
492,591,1
278,374,1
298,736,1
227,761,1
641,961,1
129,588,1
149,808,1
66,738,1
541,891,1
376,883,1
15,295,1
15,752,1
295,752,1
256,417,1
214,247,1
383,504,1
107,745,1
152,740,1
740,867,1
211,898,1
236,463,1
9,390,1
398,421,1
118,505,1
605,968,1
